file,r_i_glide_gscore,r_i_docking_score
M628-0775,-9.14720790414439,-9.14720790414439
F527-0583,-9.14556456204467,-9.14556456204467
S039-3968,-9.52077870529029,-9.14437870529029
F471-0772,-9.14441122695601,-9.14371122695601
6466-1141,-9.1430052602022,-9.1430052602022
2265-3156,-9.14250445957775,-9.14250445957775
C463-0311,-9.24641254400309,-9.14091254400309
G642-6367,-9.13924632206554,-9.13924632206554
F543-0201,-9.13991856913211,-9.13911856913211
D401-0765,-9.13897982341326,-9.13897982341326
D090-0007,-9.13879794753386,-9.13879794753386
6216-0064,-9.13876036948333,-9.13876036948333
T802-0377,-9.3444911807763,-9.1380911807763
6079-1954,-9.21633739275013,-9.13713739275012
C498-0066,-9.29665959936617,-9.13465959936616
6055-0073,-9.12965019255486,-9.12965019255486
Y041-8253,-9.12957469475044,-9.12957469475044
G721-0174,-9.12867250372611,-9.12867250372611
F542-0886,-9.12777607701279,-9.12777607701279
Y020-4091,-9.45604487836259,-9.12754487836259
C498-0067,-9.12727653098055,-9.12727653098055
8007-4143,-9.22929879197327,-9.12679879197327
G639-0909,-9.44029499261105,-9.12589499261105
M628-0094,-9.12452729178798,-9.12452729178798
7790-2744,-9.38453458538002,-9.12423458538002
C597-0770,-9.12294336076476,-9.12294336076476
F471-0800,-9.12116127877204,-9.12046127877204
Z250-1591,-9.137774339079,-9.119274339079
G199-3606,-9.52928771931576,-9.11868771931576
V009-8686,-9.23845141218857,-9.11765141218857
M628-0129,-9.11197324178517,-9.11197324178517
M976-0516,-9.1118528067997,-9.1118528067997
M976-0026,-9.11176461599787,-9.11176461599787
2432-4551,-9.10818688772739,-9.10818688772739
D090-0041,-9.51797856493429,-9.10727856493429
M628-0342,-9.10614356133042,-9.10614356133042
Y041-7514,-9.10179731105495,-9.10179731105495
E856-3165,-9.54026849639927,-9.10136849639927
L322-0432,-9.10025680619738,-9.10025680619738
Y200-5711,-9.47607827968528,-9.10007827968528
D718-0934,-9.09906226752019,-9.09906226752019
Y020-2836,-9.09800283327431,-9.09800283327431
V021-8285,-9.09812094442975,-9.09702094442975
3601-0227,-9.09832248861974,-9.09682248861974
V021-8285,-9.0973467648746,-9.0962467648746
D077-0043,-9.09597651366165,-9.09597651366165
F432-0026,-9.10840184263683,-9.09550184263683
6055-0084,-9.09489781301831,-9.09489781301831
Y041-4243,-9.09323292084079,-9.09323292084079
C498-0060,-9.09228060585763,-9.09228060585763
4986-0911,-9.09704972784839,-9.09144972784839
C498-0056,-9.09132625049568,-9.09132625049568
D487-0195,-9.0899900450562,-9.0899900450562
8002-3978,-9.08987030040742,-9.08987030040742
C597-0334,-9.0889797419145,-9.0889797419145
5629-0547,-9.0882145852498,-9.0882145852498
2237-1660,-9.08747529416149,-9.08557529416149
D252-0124,-9.09652504913022,-9.08522504913022
D077-0213,-9.08843514834846,-9.08483514834846
N081-0770,-9.08431261762195,-9.08431261762195
8001-7688,-9.08430645969427,-9.08430645969427
8019-4426,-9.08380346672102,-9.08380346672102
T746-0051,-9.10576849476561,-9.08366849476561
6434-3580,-9.08304986978795,-9.08304986978795
L438-0202,-9.0829464758951,-9.0829464758951
K894-1493,-9.09737888700627,-9.08207888700627
C648-0371,-9.08184739850317,-9.08184739850317
C593-0755,-9.08498003116428,-9.08008003116428
F471-0803,-9.07897341968162,-9.07827341968162
D718-1368,-9.07734582942894,-9.07734582942894
Y020-9108,-9.07441623589094,-9.07441623589094
6737-2360,-9.24325015810754,-9.07355015810754
T226-1131,-10.1802699680099,-9.07216996800992
V021-8285,-9.07029792693241,-9.06919792693241
F692-0283,-9.06816882483163,-9.06816882483163
T815-0907,-9.06798787438899,-9.06758787438899
F471-0806,-9.06779205546978,-9.06709205546978
Y020-8457,-9.06691259113992,-9.06671259113992
G194-0636,-9.06655651984105,-9.06655651984105
T226-1089,-9.06642537346324,-9.06642537346324
K906-1603,-9.06663663714993,-9.06623663714993
F471-0802,-9.0663660293577,-9.0656660293577
G417-0395,-9.06746082469176,-9.06536082469176
D077-0102,-9.06458018675771,-9.06458018675771
V031-2125,-9.15523399872915,-9.06163399872915
T226-1027,-9.06159125443304,-9.06159125443304
D016-0575,-9.06647725451262,-9.06157725451262
M628-0283,-9.05967435909824,-9.05967435909824
Z250-1325,-9.08265536140684,-9.05895536140684
M381-2963,-9.2308342271421,-9.0585342271421
Y020-9108,-9.05378724399343,-9.05378724399343
D077-0230,-9.05287562634524,-9.05287562634524
Y041-7244,-9.05180362187946,-9.05180362187946
4386-0109,-9.18356361575886,-9.05126361575886
3996-0064,-9.2916841129337,-9.0504841129337
0488-0574,-9.05030152890078,-9.05030152890078
V017-4468,-9.24726917173999,-9.04966917173999
6466-0191,-9.30303837575748,-9.04963837575749
G857-0989,-9.04944709243816,-9.04944709243816
M628-0025,-9.39085571398788,-9.04845571398788
C453-0110,-9.04821042760775,-9.04801042760775
5682-0105,-9.04836146213603,-9.04626146213603
Y040-5160,-9.05158480562246,-9.04558480562246
G856-2776,-9.21854749474823,-9.04534749474823
6434-3521,-9.04514527398629,-9.04514527398629
G199-3612,-9.44445222234152,-9.04245222234152
D437-0132,-9.04969207171058,-9.04199207171058
Z218-0854,-9.45162880140449,-9.04092880140449
E544-0091,-9.04449002463074,-9.04069002463074
K906-1603,-9.03972359366033,-9.03932359366033
T226-1092,-9.03763789098043,-9.03763789098043
8020-4855,-9.03726697018457,-9.03726697018457
D077-0410,-9.03542234839732,-9.03542234839732
M381-2820,-9.17471342896398,-9.03441342896398
3122-0035,-9.0330407901205,-9.0330407901205
D021-0194,-9.03278828755629,-9.03278828755629
E139-0275,-9.03146704792334,-9.02966704792334
Z218-0883,-9.43959559331317,-9.02889559331317
F692-0392,-9.02848338406288,-9.02848338406288
P814-4829,-9.02791801816978,-9.02791801816978
6466-1141,-9.02781932758456,-9.02781932758456
4988-0311,-9.02771899854775,-9.02771899854775
G199-3602,-10.7804312443884,-9.02743124438843
F389-0729,-9.02709923323956,-9.02709923323956
E139-0280,-9.02913735169601,-9.02693735169601
6434-3518,-9.02648136727421,-9.02648136727421
M338-0153,-9.02613863029564,-9.02613863029564
6192-0038,-9.03273913195213,-9.02573913195213
6466-1153,-9.03315397087388,-9.02555397087388
5537-0065,-9.02472739192685,-9.02472739192685
D385-0478,-9.0239070066248,-9.0239070066248
Z250-1394,-9.04128671269286,-9.02378671269286
G417-0187,-9.02288986174823,-9.02288986174823
D077-0282,-9.02139280367437,-9.02139280367437
L605-0481,-9.0280562938245,-9.0212562938245
T226-0994,-9.02629436401731,-9.02089436401731
G417-0337,-9.02028806750548,-9.02028806750548
C561-3251,-9.01903349160703,-9.01903349160703
D520-0593,-9.01895551576904,-9.01895551576904
S451-0395,-9.42869403222883,-9.01799403222883
M628-0891,-9.01645862938159,-9.01645862938159
M628-0010,-9.01614562176056,-9.01614562176056
Z250-1344,-9.0332976894618,-9.0158976894618
M976-0032,-9.0148775791459,-9.0148775791459
M512-0121,-9.30295815088665,-9.01405815088665
D300-0090,-9.0224269796357,-9.0134269796357
D718-1366,-9.01166825744042,-9.01166825744042
V009-8675,-9.01138072549219,-9.01138072549219
4483-1420,-9.0106513085542,-9.0106513085542
D358-2581,-9.01058608602591,-9.01058608602591
Y041-6293,-9.84405242151433,-9.01025242151433
D077-0389,-9.01129650248576,-9.00769650248576
F389-0729,-9.00615201487702,-9.00615201487702
D252-0159,-9.00608100224467,-9.00608100224467
F471-0799,-9.00624280597953,-9.00554280597953
T226-0995,-9.01127617863141,-9.00537617863141
4286-0243,-9.02798151998499,-9.00408151998499
M381-2934,-9.10686831449928,-9.00286831449928
D487-0150,-9.00154507093373,-9.00154507093373
Y041-8165,-9.44821239213496,-9.00001239213496
T408-2216,-9.00305734499931,-8.99985734499931
6055-0124,-8.9983623923762,-8.9983623923762
F541-0160,-8.99738925481892,-8.99738925481892
Z250-1344,-9.01397493153315,-8.99657493153315
8004-2122,-8.99493323327453,-8.99493323327453
